phrase;tags;dataUrl
La gente se arregla todos los días el cabello. ¿Por qué no el corazón?;corazón;https://proverbia.net/autor/frases-de-proverbio-chino
Si te caes siete veces, levántate ocho.;perseverancia;https://proverbia.net/autor/frases-de-proverbio-chino
Las grandes almas tienen voluntades; las débiles tan solo deseos.;grandeza;https://proverbia.net/autor/frases-de-proverbio-chino
El sabio puede sentarse en un hormiguero, pero sólo el necio se queda sentado en él.;sabiduría;https://proverbia.net/autor/frases-de-proverbio-chino
Cuando te inunde una enorme alegría, no prometas nada a nadie. Cuando te domine un gran enojo, no contestes ninguna carta.;moderación;https://proverbia.net/autor/frases-de-proverbio-chino
El trabajo del pensamiento se parece a la perforación de un pozo: el agua es turbia al principio, mas luego se clarifica.;pensamiento;https://proverbia.net/autor/frases-de-proverbio-chino
Si quieres que algo se haga, encárgaselo a una persona ocupada.;hacer;https://proverbia.net/autor/frases-de-proverbio-chino
Nunca se pierden los años que se quita una mujer, van a parar a cualquiera de sus amigas.;edad;https://proverbia.net/autor/frases-de-proverbio-chino
El que teme sufrir ya sufre el temor.;temor;https://proverbia.net/autor/frases-de-proverbio-chino
Es más fácil variar el curso de un río que el carácter de un hombre.;carácter;https://proverbia.net/autor/frases-de-proverbio-chino
El momento elegido por el azar vale siempre más que el momento elegido por nosotros mismos.;azar;https://proverbia.net/autor/frases-de-proverbio-chino
Cuando bebas agua, recuerda la fuente.;gratitud;https://proverbia.net/autor/frases-de-proverbio-chino
Si no quieres que se sepa, no lo hagas.;discreción;https://proverbia.net/autor/frases-de-proverbio-chino
Jamás se desvía uno tan lejos como cuando cree conocer el camino.;conocer;https://proverbia.net/autor/frases-de-proverbio-chino
Antes de iniciar la labor de cambiar el mundo, da tres vueltas por tu propia casa.;miscelánea;https://proverbia.net/autor/frases-de-proverbio-chino
Excava el pozo antes de que tengas sed.;prevenir;https://proverbia.net/autor/frases-de-proverbio-chino
Un pájaro no canta porque tenga una respuesta. Canta porque tiene una canción.;cantar;https://proverbia.net/autor/frases-de-proverbio-chino
Aquel que pregunta es un tonto por cinco minutos, pero el que no pregunta permanece tonto por siempre.;preguntar;https://proverbia.net/autor/frases-de-proverbio-chino
Todos los hombres son sabios; unos antes, los otros, después.;sabiduría;https://proverbia.net/autor/frases-de-proverbio-chino
La lengua resiste porque es blanda; los dientes ceden porque son duros.;sin clasificar;https://proverbia.net/autor/frases-de-proverbio-chino
Todos los ríos van al mar, pero el mar no se desborda.;miscelánea;https://proverbia.net/autor/frases-de-proverbio-chino
La tinta más pobre de color vale más que la mejor memoria.;memoria;https://proverbia.net/autor/frases-de-proverbio-chino
El que se pone de puntillas no puede sostenerse derecho.;apariencia;https://proverbia.net/autor/frases-de-proverbio-chino
Cada paso que da el zorro le acerca más a la peletería.;destino;https://proverbia.net/autor/frases-de-proverbio-chino
Es fácil esquivar la lanza, mas no el puñal oculto.;traición;https://proverbia.net/autor/frases-de-proverbio-chino/2
No puedes evitar que el pájaro de la tristeza vuele sobre tu cabeza, pero sí puedes evitar que anide en tu cabellera.;tristeza;https://proverbia.net/autor/frases-de-proverbio-chino/2
La puerta mejor cerrada es aquella que puede dejarse abierta.;seguridad;https://proverbia.net/autor/frases-de-proverbio-chino/2
El sabio no dice lo que sabe, y el necio no sabe lo que dice.;sabio;https://proverbia.net/autor/frases-de-proverbio-chino/2
